nohup: ignoring input
010.sh: line 2: 12899 Killed                  CUDA_VISIBLE_DEVICES=0 python -W ignore cnn-tree-107.py 1 0.001 20000 0.0 0 hvac
python: can't open file 'cnn-tree-127.py': [Errno 2] No such file or directory
1 0 0.001 20000 0.0 ['fridge']
Round: 500 Training Error: tensor(29.3702, device='cuda:0') Validation Error: tensor(28.6177, device='cuda:0') Test Error: tensor(27.0987, device='cuda:0')
Round: 1000 Training Error: tensor(28.4571, device='cuda:0') Validation Error: tensor(29.1068, device='cuda:0') Test Error: tensor(27.1645, device='cuda:0')
Round: 1500 Training Error: tensor(28.2852, device='cuda:0') Validation Error: tensor(29.2255, device='cuda:0') Test Error: tensor(27.2985, device='cuda:0')
Round: 2000 Training Error: tensor(28.2499, device='cuda:0') Validation Error: tensor(29.0286, device='cuda:0') Test Error: tensor(27.5311, device='cuda:0')
Round: 2500 Training Error: tensor(28.3525, device='cuda:0') Validation Error: tensor(29.0125, device='cuda:0') Test Error: tensor(27.1804, device='cuda:0')
Round: 3000 Training Error: tensor(27.7799, device='cuda:0') Validation Error: tensor(28.6139, device='cuda:0') Test Error: tensor(27.2818, device='cuda:0')
Round: 3500 Training Error: tensor(27.5237, device='cuda:0') Validation Error: tensor(27.9609, device='cuda:0') Test Error: tensor(27.2249, device='cuda:0')
Round: 4000 Training Error: tensor(27.2144, device='cuda:0') Validation Error: tensor(27.8760, device='cuda:0') Test Error: tensor(26.8506, device='cuda:0')
Round: 4500 Training Error: tensor(27.6907, device='cuda:0') Validation Error: tensor(28.4078, device='cuda:0') Test Error: tensor(26.8093, device='cuda:0')
Round: 5000 Training Error: tensor(26.9124, device='cuda:0') Validation Error: tensor(27.7008, device='cuda:0') Test Error: tensor(26.5616, device='cuda:0')
Round: 5500 Training Error: tensor(26.8142, device='cuda:0') Validation Error: tensor(27.6075, device='cuda:0') Test Error: tensor(26.5026, device='cuda:0')
Round: 6000 Training Error: tensor(27.2086, device='cuda:0') Validation Error: tensor(28.1128, device='cuda:0') Test Error: tensor(26.4194, device='cuda:0')
Round: 6500 Training Error: tensor(26.7369, device='cuda:0') Validation Error: tensor(27.6837, device='cuda:0') Test Error: tensor(26.4341, device='cuda:0')
Round: 7000 Training Error: tensor(26.7124, device='cuda:0') Validation Error: tensor(27.5868, device='cuda:0') Test Error: tensor(26.3958, device='cuda:0')
Round: 7500 Training Error: tensor(26.6888, device='cuda:0') Validation Error: tensor(27.6812, device='cuda:0') Test Error: tensor(26.2795, device='cuda:0')
Round: 8000 Training Error: tensor(26.5814, device='cuda:0') Validation Error: tensor(27.6840, device='cuda:0') Test Error: tensor(26.2601, device='cuda:0')
Round: 8500 Training Error: tensor(26.5533, device='cuda:0') Validation Error: tensor(27.6943, device='cuda:0') Test Error: tensor(26.1745, device='cuda:0')
Round: 9000 Training Error: tensor(26.4805, device='cuda:0') Validation Error: tensor(27.6829, device='cuda:0') Test Error: tensor(26.0888, device='cuda:0')
Round: 9500 Training Error: tensor(26.4805, device='cuda:0') Validation Error: tensor(27.7083, device='cuda:0') Test Error: tensor(25.9930, device='cuda:0')
Round: 10000 Training Error: tensor(26.4120, device='cuda:0') Validation Error: tensor(27.7312, device='cuda:0') Test Error: tensor(25.9557, device='cuda:0')
Round: 10500 Training Error: tensor(26.5661, device='cuda:0') Validation Error: tensor(27.8734, device='cuda:0') Test Error: tensor(26.2534, device='cuda:0')
Round: 11000 Training Error: tensor(26.3603, device='cuda:0') Validation Error: tensor(27.7650, device='cuda:0') Test Error: tensor(25.9270, device='cuda:0')
Round: 11500 Training Error: tensor(26.4232, device='cuda:0') Validation Error: tensor(27.9116, device='cuda:0') Test Error: tensor(25.8334, device='cuda:0')
Round: 12000 Training Error: tensor(26.3111, device='cuda:0') Validation Error: tensor(27.7884, device='cuda:0') Test Error: tensor(25.8875, device='cuda:0')
Round: 12500 Training Error: tensor(26.3331, device='cuda:0') Validation Error: tensor(27.8060, device='cuda:0') Test Error: tensor(25.9701, device='cuda:0')
Round: 13000 Training Error: tensor(26.6852, device='cuda:0') Validation Error: tensor(28.2185, device='cuda:0') Test Error: tensor(25.8947, device='cuda:0')
Round: 13500 Training Error: tensor(26.3101, device='cuda:0') Validation Error: tensor(27.9182, device='cuda:0') Test Error: tensor(25.7898, device='cuda:0')
Round: 14000 Training Error: tensor(26.2894, device='cuda:0') Validation Error: tensor(27.8808, device='cuda:0') Test Error: tensor(25.8222, device='cuda:0')
Round: 14500 Training Error: tensor(26.3414, device='cuda:0') Validation Error: tensor(27.9896, device='cuda:0') Test Error: tensor(25.8314, device='cuda:0')
Round: 15000 Training Error: tensor(26.4024, device='cuda:0') Validation Error: tensor(27.9583, device='cuda:0') Test Error: tensor(25.8248, device='cuda:0')
Round: 15500 Training Error: tensor(26.2607, device='cuda:0') Validation Error: tensor(27.8923, device='cuda:0') Test Error: tensor(25.8895, device='cuda:0')
Round: 16000 Training Error: tensor(26.3034, device='cuda:0') Validation Error: tensor(27.8254, device='cuda:0') Test Error: tensor(25.8067, device='cuda:0')
Round: 16500 Training Error: tensor(26.2275, device='cuda:0') Validation Error: tensor(27.8848, device='cuda:0') Test Error: tensor(25.9654, device='cuda:0')
Round: 17000 Training Error: tensor(26.2437, device='cuda:0') Validation Error: tensor(27.9705, device='cuda:0') Test Error: tensor(25.8714, device='cuda:0')
Round: 17500 Training Error: tensor(26.2232, device='cuda:0') Validation Error: tensor(27.9937, device='cuda:0') Test Error: tensor(25.8617, device='cuda:0')
Round: 18000 Training Error: tensor(26.2124, device='cuda:0') Validation Error: tensor(27.9933, device='cuda:0') Test Error: tensor(25.8596, device='cuda:0')
Round: 18500 Training Error: tensor(26.1946, device='cuda:0') Validation Error: tensor(27.9456, device='cuda:0') Test Error: tensor(25.9437, device='cuda:0')
Round: 19000 Training Error: tensor(26.2047, device='cuda:0') Validation Error: tensor(27.9718, device='cuda:0') Test Error: tensor(25.9657, device='cuda:0')
Round: 19500 Training Error: tensor(26.2197, device='cuda:0') Validation Error: tensor(27.9866, device='cuda:0') Test Error: tensor(25.9209, device='cuda:0')
Round: 20000 Training Error: tensor(26.2184, device='cuda:0') Validation Error: tensor(27.9844, device='cuda:0') Test Error: tensor(25.9452, device='cuda:0')
1 0 0.001 20000 0.0 ['fridge']
Round: 500 Training Error: tensor(28.4732, device='cuda:0') Validation Error: tensor(29.6915, device='cuda:0') Test Error: tensor(29.5221, device='cuda:0')
Round: 1000 Training Error: tensor(27.5751, device='cuda:0') Validation Error: tensor(29.8957, device='cuda:0') Test Error: tensor(29.5016, device='cuda:0')
Round: 1500 Training Error: tensor(27.2311, device='cuda:0') Validation Error: tensor(29.8201, device='cuda:0') Test Error: tensor(29.7879, device='cuda:0')
Round: 2000 Training Error: tensor(27.0235, device='cuda:0') Validation Error: tensor(30.1902, device='cuda:0') Test Error: tensor(29.9919, device='cuda:0')
Round: 2500 Training Error: tensor(26.7420, device='cuda:0') Validation Error: tensor(30.4572, device='cuda:0') Test Error: tensor(30.2132, device='cuda:0')
Round: 3000 Training Error: tensor(26.6056, device='cuda:0') Validation Error: tensor(30.5813, device='cuda:0') Test Error: tensor(30.4404, device='cuda:0')
Round: 3500 Training Error: tensor(26.5052, device='cuda:0') Validation Error: tensor(30.8508, device='cuda:0') Test Error: tensor(30.4587, device='cuda:0')
Round: 4000 Training Error: tensor(26.3872, device='cuda:0') Validation Error: tensor(30.9143, device='cuda:0') Test Error: tensor(30.4220, device='cuda:0')
Round: 4500 Training Error: tensor(26.2843, device='cuda:0') Validation Error: tensor(31.0990, device='cuda:0') Test Error: tensor(30.5534, device='cuda:0')
Round: 5000 Training Error: tensor(26.1879, device='cuda:0') Validation Error: tensor(31.1199, device='cuda:0') Test Error: tensor(30.5590, device='cuda:0')
Round: 5500 Training Error: tensor(26.1172, device='cuda:0') Validation Error: tensor(31.2060, device='cuda:0') Test Error: tensor(30.6166, device='cuda:0')
Round: 6000 Training Error: tensor(26.0290, device='cuda:0') Validation Error: tensor(31.3116, device='cuda:0') Test Error: tensor(30.5282, device='cuda:0')
Round: 6500 Training Error: tensor(25.9943, device='cuda:0') Validation Error: tensor(31.3981, device='cuda:0') Test Error: tensor(30.6121, device='cuda:0')
Round: 7000 Training Error: tensor(25.9137, device='cuda:0') Validation Error: tensor(31.4546, device='cuda:0') Test Error: tensor(30.5605, device='cuda:0')
Round: 7500 Training Error: tensor(25.9011, device='cuda:0') Validation Error: tensor(31.4977, device='cuda:0') Test Error: tensor(30.6032, device='cuda:0')
Round: 8000 Training Error: tensor(25.8103, device='cuda:0') Validation Error: tensor(31.5295, device='cuda:0') Test Error: tensor(30.6802, device='cuda:0')
Round: 8500 Training Error: tensor(25.6923, device='cuda:0') Validation Error: tensor(31.6556, device='cuda:0') Test Error: tensor(30.5588, device='cuda:0')
Round: 9000 Training Error: tensor(25.6461, device='cuda:0') Validation Error: tensor(31.6982, device='cuda:0') Test Error: tensor(30.5824, device='cuda:0')
Round: 9500 Training Error: tensor(25.5515, device='cuda:0') Validation Error: tensor(31.7875, device='cuda:0') Test Error: tensor(30.6841, device='cuda:0')
Round: 10000 Training Error: tensor(25.4721, device='cuda:0') Validation Error: tensor(31.9030, device='cuda:0') Test Error: tensor(30.7011, device='cuda:0')
Round: 10500 Training Error: tensor(25.4624, device='cuda:0') Validation Error: tensor(31.9685, device='cuda:0') Test Error: tensor(30.7499, device='cuda:0')
Round: 11000 Training Error: tensor(25.4499, device='cuda:0') Validation Error: tensor(32.1327, device='cuda:0') Test Error: tensor(30.8539, device='cuda:0')
Round: 11500 Training Error: tensor(25.3067, device='cuda:0') Validation Error: tensor(32.1769, device='cuda:0') Test Error: tensor(30.9408, device='cuda:0')
Round: 12000 Training Error: tensor(25.3229, device='cuda:0') Validation Error: tensor(32.2796, device='cuda:0') Test Error: tensor(31.0826, device='cuda:0')
Round: 12500 Training Error: tensor(25.2926, device='cuda:0') Validation Error: tensor(32.3884, device='cuda:0') Test Error: tensor(31.1934, device='cuda:0')
Round: 13000 Training Error: tensor(25.2601, device='cuda:0') Validation Error: tensor(32.4966, device='cuda:0') Test Error: tensor(31.1667, device='cuda:0')
Round: 13500 Training Error: tensor(25.1776, device='cuda:0') Validation Error: tensor(32.5247, device='cuda:0') Test Error: tensor(31.2324, device='cuda:0')
Round: 14000 Training Error: tensor(25.1694, device='cuda:0') Validation Error: tensor(32.5184, device='cuda:0') Test Error: tensor(31.3260, device='cuda:0')
Round: 14500 Training Error: tensor(25.1944, device='cuda:0') Validation Error: tensor(32.6082, device='cuda:0') Test Error: tensor(31.3649, device='cuda:0')
Round: 15000 Training Error: tensor(25.1195, device='cuda:0') Validation Error: tensor(32.5800, device='cuda:0') Test Error: tensor(31.4870, device='cuda:0')
Round: 15500 Training Error: tensor(25.0900, device='cuda:0') Validation Error: tensor(32.6970, device='cuda:0') Test Error: tensor(31.5625, device='cuda:0')
Round: 16000 Training Error: tensor(25.1659, device='cuda:0') Validation Error: tensor(32.8617, device='cuda:0') Test Error: tensor(31.5143, device='cuda:0')
