nohup: ignoring input
3 3 0.01 20000 0.0 ['fridge', 'hvac', 'dr', 'mw', 'dw']
Round: 500 Training Error: 80.7321548461914 Validation Error: 103.734619140625 Test Error: 113.02617645263672
Round: 1000 Training Error: 72.28783416748047 Validation Error: 95.61820220947266 Test Error: 104.33080291748047
Round: 1500 Training Error: 69.65815734863281 Validation Error: 95.73035430908203 Test Error: 102.6009521484375
Round: 2000 Training Error: 68.74340057373047 Validation Error: 98.24925231933594 Test Error: 104.92353820800781
Round: 2500 Training Error: 68.24832153320312 Validation Error: 98.50293731689453 Test Error: 104.67662811279297
Round: 3000 Training Error: 68.02464294433594 Validation Error: 98.48500061035156 Test Error: 104.78133392333984
Round: 3500 Training Error: 67.71794891357422 Validation Error: 98.47338104248047 Test Error: 105.00196838378906
Round: 4000 Training Error: 67.37283325195312 Validation Error: 98.34404754638672 Test Error: 105.17193603515625
Round: 4500 Training Error: 67.90928649902344 Validation Error: 95.04371643066406 Test Error: 102.46245574951172
Round: 5000 Training Error: 67.62094116210938 Validation Error: 96.26774597167969 Test Error: 104.04772186279297
Round: 5500 Training Error: 67.36971282958984 Validation Error: 97.236572265625 Test Error: 104.86502838134766
Round: 6000 Training Error: 67.24259185791016 Validation Error: 97.44527435302734 Test Error: 105.04728698730469
Round: 6500 Training Error: 66.97502899169922 Validation Error: 96.66769409179688 Test Error: 103.90174865722656
Round: 7000 Training Error: 67.17161560058594 Validation Error: 96.79193878173828 Test Error: 104.14080047607422
Round: 7500 Training Error: 66.96003723144531 Validation Error: 96.80796813964844 Test Error: 104.06999969482422
Round: 8000 Training Error: 66.66353607177734 Validation Error: 97.83708953857422 Test Error: 104.64849853515625
Round: 8500 Training Error: 66.6354751586914 Validation Error: 97.19196319580078 Test Error: 103.61964416503906
Round: 9000 Training Error: 66.63939666748047 Validation Error: 97.94990539550781 Test Error: 104.10882568359375
Round: 9500 Training Error: 66.43860626220703 Validation Error: 98.50785827636719 Test Error: 105.14669036865234
Round: 10000 Training Error: 66.45084381103516 Validation Error: 98.58868408203125 Test Error: 105.39055633544922
Round: 10500 Training Error: 66.72027587890625 Validation Error: 97.12013244628906 Test Error: 103.5744857788086
Round: 11000 Training Error: 66.36097717285156 Validation Error: 97.8772201538086 Test Error: 104.53575134277344
Round: 11500 Training Error: 66.1978759765625 Validation Error: 98.0606918334961 Test Error: 104.67342376708984
Round: 12000 Training Error: 66.72959899902344 Validation Error: 97.99122619628906 Test Error: 104.40805053710938
Round: 12500 Training Error: 66.17428588867188 Validation Error: 98.66978454589844 Test Error: 105.44898223876953
Round: 13000 Training Error: 66.7732162475586 Validation Error: 98.44960021972656 Test Error: 105.72583770751953
Round: 13500 Training Error: 66.20171356201172 Validation Error: 98.19641876220703 Test Error: 105.00056457519531
