nohup: ignoring input
5 0 0.01 20000 0.8 ['dr', 'dw', 'residual', 'mw', 'hvac', 'fridge']
Round: 500 Training Error: 179.4944305419922 Validation Error: 175.45184326171875 Test Error: 151.85647583007812
Round: 1000 Training Error: 169.16941833496094 Validation Error: 179.14219665527344 Test Error: 155.25648498535156
Round: 1500 Training Error: 163.11386108398438 Validation Error: 168.57492065429688 Test Error: 148.23622131347656
Round: 2000 Training Error: 158.35585021972656 Validation Error: 164.5628662109375 Test Error: 151.70481872558594
Round: 2500 Training Error: 157.3360137939453 Validation Error: 166.52920532226562 Test Error: 152.68960571289062
Round: 3000 Training Error: 158.9598388671875 Validation Error: 159.12576293945312 Test Error: 147.47811889648438
Round: 3500 Training Error: 155.9775848388672 Validation Error: 160.50140380859375 Test Error: 148.30433654785156
Round: 4000 Training Error: 144.3138427734375 Validation Error: 163.8648681640625 Test Error: 154.3074493408203
Round: 4500 Training Error: 153.93663024902344 Validation Error: 166.60325622558594 Test Error: 156.78114318847656
Round: 5000 Training Error: 153.53025817871094 Validation Error: 164.51254272460938 Test Error: 155.1403350830078
Round: 5500 Training Error: 153.62374877929688 Validation Error: 165.6942138671875 Test Error: 154.74832153320312
Round: 6000 Training Error: 155.47335815429688 Validation Error: 159.2381591796875 Test Error: 148.8211212158203
Round: 6500 Training Error: 151.58865356445312 Validation Error: 169.64112854003906 Test Error: 160.26821899414062
Round: 7000 Training Error: 153.8735809326172 Validation Error: 162.22386169433594 Test Error: 148.88742065429688
Round: 7500 Training Error: 136.82545471191406 Validation Error: 162.24246215820312 Test Error: 149.18597412109375
Round: 8000 Training Error: 153.9254150390625 Validation Error: 161.80772399902344 Test Error: 149.47291564941406
Round: 8500 Training Error: 153.08677673339844 Validation Error: 164.25521850585938 Test Error: 148.03611755371094
Round: 9000 Training Error: 153.22686767578125 Validation Error: 155.67660522460938 Test Error: 144.03854370117188
Round: 9500 Training Error: 136.1794891357422 Validation Error: 163.85595703125 Test Error: 151.87030029296875
Round: 10000 Training Error: 152.9297637939453 Validation Error: 156.47422790527344 Test Error: 142.42630004882812
Round: 10500 Training Error: 151.15957641601562 Validation Error: 158.14134216308594 Test Error: 146.2231903076172
Round: 11000 Training Error: 152.09710693359375 Validation Error: 160.1563720703125 Test Error: 145.3202362060547
Round: 11500 Training Error: 155.36285400390625 Validation Error: 159.31924438476562 Test Error: 143.13111877441406
Round: 12000 Training Error: 151.40139770507812 Validation Error: 155.6507110595703 Test Error: 140.08836364746094
Round: 12500 Training Error: 149.62442016601562 Validation Error: 163.22129821777344 Test Error: 149.50172424316406
Round: 13000 Training Error: 150.3602752685547 Validation Error: 159.83639526367188 Test Error: 143.35801696777344
Round: 13500 Training Error: 149.6684112548828 Validation Error: 160.23927307128906 Test Error: 146.63514709472656
Round: 14000 Training Error: 150.26136779785156 Validation Error: 158.6920928955078 Test Error: 145.00108337402344
Round: 14500 Training Error: 149.4777069091797 Validation Error: 160.05662536621094 Test Error: 151.24957275390625
Round: 15000 Training Error: 149.28114318847656 Validation Error: 159.70599365234375 Test Error: 146.16461181640625
Round: 15500 Training Error: 130.56417846679688 Validation Error: 155.87777709960938 Test Error: 146.27842712402344
Round: 16000 Training Error: 149.270751953125 Validation Error: 158.15782165527344 Test Error: 142.43319702148438
Round: 16500 Training Error: 126.96467590332031 Validation Error: 156.9746856689453 Test Error: 141.91993713378906
