nohup: ignoring input
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'fridge', 'dr', 'dw', 'mw']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'fridge', 'dr', 'mw', 'dw']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'fridge', 'dw', 'dr', 'mw']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'fridge', 'dw', 'mw', 'dr']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'fridge', 'mw', 'dr', 'dw']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'fridge', 'mw', 'dw', 'dr']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'dr', 'fridge', 'dw', 'mw']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'dr', 'fridge', 'mw', 'dw']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'dr', 'dw', 'fridge', 'mw']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'dr', 'dw', 'mw', 'fridge']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'dr', 'mw', 'fridge', 'dw']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'dr', 'mw', 'dw', 'fridge']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'dw', 'fridge', 'dr', 'mw']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'dw', 'fridge', 'mw', 'dr']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'dw', 'dr', 'fridge', 'mw']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'dw', 'dr', 'mw', 'fridge']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'dw', 'mw', 'fridge', 'dr']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'dw', 'mw', 'dr', 'fridge']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'mw', 'fridge', 'dr', 'dw']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'mw', 'fridge', 'dw', 'dr']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'mw', 'dr', 'fridge', 'dw']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'mw', 'dr', 'dw', 'fridge']
2 4 LSTM 100 2 0.001 3000 0.0 ['hvac', 'mw', 'dw', 'fridge', 'dr']
