nohup: ignoring input
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'fridge', 'dr', 'dw', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'fridge', 'dr', 'mw', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'fridge', 'dw', 'dr', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'fridge', 'dw', 'mw', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'fridge', 'mw', 'dr', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'fridge', 'mw', 'dw', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'dr', 'fridge', 'dw', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'dr', 'fridge', 'mw', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'dr', 'dw', 'fridge', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'dr', 'dw', 'mw', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'dr', 'mw', 'fridge', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'dr', 'mw', 'dw', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'dw', 'fridge', 'dr', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'dw', 'fridge', 'mw', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'dw', 'dr', 'fridge', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'dw', 'dr', 'mw', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'dw', 'mw', 'fridge', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'dw', 'mw', 'dr', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'mw', 'fridge', 'dr', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'mw', 'fridge', 'dw', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'mw', 'dr', 'fridge', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'mw', 'dr', 'dw', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'mw', 'dw', 'fridge', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'mw', 'dw', 'dr', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'hvac', 'dr', 'dw', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'hvac', 'dr', 'mw', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'hvac', 'dw', 'dr', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'hvac', 'dw', 'mw', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'hvac', 'mw', 'dr', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'hvac', 'mw', 'dw', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'dr', 'hvac', 'dw', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'dr', 'hvac', 'mw', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'dr', 'dw', 'hvac', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'dr', 'dw', 'mw', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'dr', 'mw', 'hvac', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'dr', 'mw', 'dw', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'dw', 'hvac', 'dr', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'dw', 'hvac', 'mw', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'dw', 'dr', 'hvac', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'dw', 'dr', 'mw', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'dw', 'mw', 'hvac', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'dw', 'mw', 'dr', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'mw', 'hvac', 'dr', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'mw', 'hvac', 'dw', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'mw', 'dr', 'hvac', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'mw', 'dr', 'dw', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'mw', 'dw', 'hvac', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['fridge', 'mw', 'dw', 'dr', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'hvac', 'fridge', 'dw', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'hvac', 'fridge', 'mw', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'hvac', 'dw', 'fridge', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'hvac', 'dw', 'mw', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'hvac', 'mw', 'fridge', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'hvac', 'mw', 'dw', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'fridge', 'hvac', 'dw', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'fridge', 'hvac', 'mw', 'dw']
