nohup: ignoring input
5 2 0.01 20000 0.8 ['residual', 'hvac', 'dw', 'fridge', 'dr', 'mw']
Round: 500 Training Error: 171.23622131347656 Validation Error: 159.0476837158203 Test Error: 177.57452392578125
Round: 1000 Training Error: 162.48947143554688 Validation Error: 153.6137237548828 Test Error: 173.53346252441406
Round: 1500 Training Error: 154.5647430419922 Validation Error: 147.27056884765625 Test Error: 169.50157165527344
Round: 2000 Training Error: 150.02276611328125 Validation Error: 144.6519775390625 Test Error: 166.32107543945312
Round: 2500 Training Error: 148.92279052734375 Validation Error: 142.08116149902344 Test Error: 170.676513671875
Round: 3000 Training Error: 147.34544372558594 Validation Error: 142.48121643066406 Test Error: 168.46434020996094
Round: 3500 Training Error: 147.92575073242188 Validation Error: 140.677001953125 Test Error: 172.61187744140625
Round: 4000 Training Error: 128.8594970703125 Validation Error: 140.84397888183594 Test Error: 171.45838928222656
Round: 4500 Training Error: 144.3816375732422 Validation Error: 142.95431518554688 Test Error: 163.4600830078125
Round: 5000 Training Error: 143.59954833984375 Validation Error: 142.6688995361328 Test Error: 170.2731475830078
Round: 5500 Training Error: 144.64866638183594 Validation Error: 141.74720764160156 Test Error: 170.61387634277344
Round: 6000 Training Error: 144.72499084472656 Validation Error: 141.7979736328125 Test Error: 171.910400390625
Round: 6500 Training Error: 142.14334106445312 Validation Error: 143.5648956298828 Test Error: 173.13192749023438
Round: 7000 Training Error: 148.51026916503906 Validation Error: 144.99766540527344 Test Error: 163.62721252441406
Round: 7500 Training Error: 129.45587158203125 Validation Error: 138.84225463867188 Test Error: 172.21884155273438
Round: 8000 Training Error: 142.2156524658203 Validation Error: 139.1041259765625 Test Error: 164.68301391601562
Round: 8500 Training Error: 144.05311584472656 Validation Error: 140.63560485839844 Test Error: 168.0934295654297
Round: 9000 Training Error: 145.54742431640625 Validation Error: 140.21902465820312 Test Error: 157.02407836914062
Round: 9500 Training Error: 127.24436950683594 Validation Error: 142.04676818847656 Test Error: 164.59579467773438
Round: 10000 Training Error: 143.06930541992188 Validation Error: 139.4013214111328 Test Error: 164.99331665039062
Round: 10500 Training Error: 142.5833740234375 Validation Error: 141.1210174560547 Test Error: 161.5782470703125
Round: 11000 Training Error: 142.74624633789062 Validation Error: 139.87548828125 Test Error: 161.71493530273438
Round: 11500 Training Error: 144.53829956054688 Validation Error: 139.552001953125 Test Error: 163.24827575683594
Round: 12000 Training Error: 141.75567626953125 Validation Error: 140.27267456054688 Test Error: 161.22918701171875
