nohup: ignoring input
5 3 0.01 20000 0.8 ['dr', 'hvac', 'residual', 'fridge', 'mw', 'dw']
Round: 500 Training Error: 158.41256713867188 Validation Error: 168.84593200683594 Test Error: 197.58848571777344
Round: 1000 Training Error: 149.87063598632812 Validation Error: 165.0409393310547 Test Error: 196.63612365722656
Round: 1500 Training Error: 143.24998474121094 Validation Error: 160.82162475585938 Test Error: 191.50100708007812
Round: 2000 Training Error: 140.45761108398438 Validation Error: 158.4138641357422 Test Error: 191.57032775878906
Round: 2500 Training Error: 140.22760009765625 Validation Error: 159.97740173339844 Test Error: 193.84095764160156
Round: 3000 Training Error: 139.27134704589844 Validation Error: 155.89279174804688 Test Error: 189.55215454101562
Round: 3500 Training Error: 138.20858764648438 Validation Error: 154.9564208984375 Test Error: 191.0393829345703
Round: 4000 Training Error: 122.52599334716797 Validation Error: 156.37010192871094 Test Error: 191.27285766601562
Round: 4500 Training Error: 135.55783081054688 Validation Error: 153.7297821044922 Test Error: 190.20449829101562
Round: 5000 Training Error: 134.43026733398438 Validation Error: 157.63714599609375 Test Error: 192.03598022460938
Round: 5500 Training Error: 134.33522033691406 Validation Error: 155.20452880859375 Test Error: 190.6109161376953
Round: 6000 Training Error: 135.271728515625 Validation Error: 156.57183837890625 Test Error: 190.89276123046875
Round: 6500 Training Error: 133.52374267578125 Validation Error: 157.81944274902344 Test Error: 192.56747436523438
Round: 7000 Training Error: 135.4315643310547 Validation Error: 150.733642578125 Test Error: 187.1072540283203
Round: 7500 Training Error: 119.24481201171875 Validation Error: 153.01510620117188 Test Error: 189.5701141357422
Round: 8000 Training Error: 139.89564514160156 Validation Error: 160.31114196777344 Test Error: 195.74761962890625
Round: 8500 Training Error: 132.36410522460938 Validation Error: 153.9547576904297 Test Error: 189.69207763671875
Round: 9000 Training Error: 133.02647399902344 Validation Error: 150.66102600097656 Test Error: 186.2052459716797
Round: 9500 Training Error: 119.83131408691406 Validation Error: 152.89939880371094 Test Error: 190.48558044433594
Round: 10000 Training Error: 131.88633728027344 Validation Error: 148.71597290039062 Test Error: 187.4769744873047
Round: 10500 Training Error: 129.94300842285156 Validation Error: 151.3790740966797 Test Error: 187.0332794189453
Round: 11000 Training Error: 128.72183227539062 Validation Error: 150.97628784179688 Test Error: 187.931884765625
Round: 11500 Training Error: 134.9642791748047 Validation Error: 153.3955841064453 Test Error: 187.2129669189453
Round: 12000 Training Error: 129.83338928222656 Validation Error: 150.97096252441406 Test Error: 185.60333251953125
Round: 12500 Training Error: 126.46981811523438 Validation Error: 154.4786834716797 Test Error: 190.5681915283203
Round: 13000 Training Error: 129.67225646972656 Validation Error: 150.63442993164062 Test Error: 185.88848876953125
Round: 13500 Training Error: 127.30171203613281 Validation Error: 153.88690185546875 Test Error: 190.75936889648438
Round: 14000 Training Error: 129.02313232421875 Validation Error: 150.0102081298828 Test Error: 186.22813415527344
Round: 14500 Training Error: 126.6533203125 Validation Error: 152.96160888671875 Test Error: 190.85025024414062
Round: 15000 Training Error: 126.52084350585938 Validation Error: 153.62411499023438 Test Error: 189.57615661621094
Round: 15500 Training Error: 118.18119049072266 Validation Error: 155.5359344482422 Test Error: 193.44830322265625
Round: 16000 Training Error: 128.4714813232422 Validation Error: 150.12564086914062 Test Error: 190.01651000976562
Round: 16500 Training Error: 118.45777130126953 Validation Error: 167.15118408203125 Test Error: 199.11170959472656
