nohup: ignoring input
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'dr', 'fridge', 'residual', 'mw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'dr', 'mw', 'fridge', 'residual']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'dr', 'mw', 'residual', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'dr', 'residual', 'fridge', 'mw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'dr', 'residual', 'mw', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'fridge', 'dr', 'residual']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'fridge', 'residual', 'dr']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'dr', 'fridge', 'residual']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'dr', 'residual', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'residual', 'fridge', 'dr']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'residual', 'dr', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'fridge', 'dr', 'mw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'fridge', 'mw', 'dr']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'dr', 'fridge', 'mw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'dr', 'mw', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'mw', 'fridge', 'dr']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'dw', 'hvac', 'residual', 'dr']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'dw', 'dr', 'hvac', 'residual']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'dw', 'dr', 'residual', 'hvac']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'dw', 'residual', 'hvac', 'dr']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'dw', 'residual', 'dr', 'hvac']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'residual', 'hvac', 'dr', 'dw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'residual', 'hvac', 'dw', 'dr']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'residual', 'dr', 'hvac', 'dw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'residual', 'dr', 'dw', 'hvac']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'residual', 'dw', 'hvac', 'dr']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'residual', 'dw', 'dr', 'hvac']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'hvac', 'fridge', 'dw', 'residual']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'hvac', 'fridge', 'residual', 'dw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'hvac', 'dw', 'fridge', 'residual']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'hvac', 'dw', 'residual', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'hvac', 'residual', 'fridge', 'dw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'hvac', 'residual', 'dw', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'fridge', 'hvac', 'dw', 'residual']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'fridge', 'hvac', 'residual', 'dw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'fridge', 'dw', 'hvac', 'residual']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'fridge', 'dw', 'residual', 'hvac']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'fridge', 'residual', 'hvac', 'dw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'fridge', 'residual', 'dw', 'hvac']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'dw', 'hvac', 'fridge', 'residual']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'dw', 'hvac', 'residual', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'dw', 'fridge', 'hvac', 'residual']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'dw', 'fridge', 'residual', 'hvac']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'dw', 'residual', 'hvac', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'dr', 'dw', 'residual', 'fridge', 'hvac']
