nohup: ignoring input
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'fridge', 'dr', 'mw', 'dw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'fridge', 'dw', 'dr', 'mw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'fridge', 'dw', 'mw', 'dr']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'fridge', 'mw', 'dr', 'dw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'fridge', 'mw', 'dw', 'dr']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'dr', 'fridge', 'dw', 'mw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'dr', 'fridge', 'mw', 'dw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'dr', 'dw', 'fridge', 'mw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'dr', 'dw', 'mw', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'dr', 'mw', 'fridge', 'dw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'dr', 'mw', 'dw', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'dw', 'fridge', 'dr', 'mw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'dw', 'fridge', 'mw', 'dr']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'dw', 'dr', 'fridge', 'mw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'dw', 'dr', 'mw', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'dw', 'mw', 'fridge', 'dr']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'dw', 'mw', 'dr', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'mw', 'fridge', 'dr', 'dw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'mw', 'fridge', 'dw', 'dr']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'mw', 'dr', 'fridge', 'dw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'mw', 'dr', 'dw', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'mw', 'dw', 'fridge', 'dr']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'hvac', 'mw', 'dw', 'dr', 'fridge']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'fridge', 'hvac', 'dr', 'dw', 'mw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'fridge', 'hvac', 'dr', 'mw', 'dw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'fridge', 'hvac', 'dw', 'dr', 'mw']
5 1 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'fridge', 'hvac', 'dw', 'mw', 'dr']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['hvac', 'mw', 'fridge', 'dw', 'dr', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['hvac', 'mw', 'fridge', 'dw', 'residual', 'dr']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['hvac', 'mw', 'fridge', 'residual', 'dr', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['hvac', 'mw', 'fridge', 'residual', 'dw', 'dr']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['hvac', 'mw', 'dr', 'fridge', 'dw', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'mw', 'residual', 'dw', 'hvac', 'dr']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'mw', 'residual', 'dw', 'dr', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'hvac', 'dr', 'dw', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'hvac', 'dr', 'mw', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'hvac', 'dw', 'dr', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'hvac', 'dw', 'mw', 'dr']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'hvac', 'mw', 'dr', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'hvac', 'mw', 'dw', 'dr']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'dr', 'hvac', 'dw', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'dr', 'hvac', 'mw', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'dr', 'dw', 'hvac', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'dr', 'dw', 'mw', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'dr', 'mw', 'hvac', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'dr', 'mw', 'dw', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'dw', 'hvac', 'dr', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'dw', 'hvac', 'mw', 'dr']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'dw', 'dr', 'hvac', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'dw', 'dr', 'mw', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'dw', 'mw', 'hvac', 'dr']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'dw', 'mw', 'dr', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'mw', 'hvac', 'dr', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'mw', 'hvac', 'dw', 'dr']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'mw', 'dr', 'hvac', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'mw', 'dr', 'dw', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'mw', 'dw', 'hvac', 'dr']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['fridge', 'residual', 'mw', 'dw', 'dr', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'hvac', 'fridge', 'dw', 'mw', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'hvac', 'fridge', 'dw', 'residual', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'hvac', 'fridge', 'mw', 'dw', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'hvac', 'fridge', 'mw', 'residual', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'hvac', 'fridge', 'residual', 'dw', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'hvac', 'fridge', 'residual', 'mw', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'hvac', 'dw', 'fridge', 'mw', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'hvac', 'dw', 'fridge', 'residual', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'hvac', 'dw', 'mw', 'fridge', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'hvac', 'dw', 'mw', 'residual', 'fridge']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'hvac', 'dw', 'residual', 'fridge', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'hvac', 'dw', 'residual', 'mw', 'fridge']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'hvac', 'mw', 'fridge', 'dw', 'residual']
