nohup: ignoring input
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'fridge', 'residual', 'hvac', 'dw', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'fridge', 'residual', 'hvac', 'mw', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'fridge', 'residual', 'dw', 'hvac', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'fridge', 'residual', 'dw', 'mw', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'fridge', 'residual', 'mw', 'hvac', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'fridge', 'residual', 'mw', 'dw', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'hvac', 'fridge', 'mw', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'hvac', 'fridge', 'residual', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'hvac', 'mw', 'fridge', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'hvac', 'mw', 'residual', 'fridge']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'hvac', 'residual', 'fridge', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'hvac', 'residual', 'mw', 'fridge']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'fridge', 'hvac', 'mw', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'fridge', 'hvac', 'residual', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'fridge', 'mw', 'hvac', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'fridge', 'mw', 'residual', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'fridge', 'residual', 'hvac', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'fridge', 'residual', 'mw', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'mw', 'hvac', 'fridge', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'mw', 'hvac', 'residual', 'fridge']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'mw', 'fridge', 'hvac', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'mw', 'fridge', 'residual', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'mw', 'residual', 'hvac', 'fridge']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'mw', 'residual', 'fridge', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'residual', 'hvac', 'fridge', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'residual', 'hvac', 'mw', 'fridge']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'residual', 'fridge', 'hvac', 'mw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'residual', 'fridge', 'mw', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'residual', 'mw', 'hvac', 'fridge']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'dw', 'residual', 'mw', 'fridge', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'hvac', 'fridge', 'dw', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'hvac', 'fridge', 'residual', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'hvac', 'dw', 'fridge', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'hvac', 'dw', 'residual', 'fridge']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'hvac', 'residual', 'fridge', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'hvac', 'residual', 'dw', 'fridge']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'fridge', 'hvac', 'dw', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'fridge', 'hvac', 'residual', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'fridge', 'dw', 'hvac', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'fridge', 'dw', 'residual', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'fridge', 'residual', 'hvac', 'dw']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'fridge', 'residual', 'dw', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'dw', 'hvac', 'fridge', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'dw', 'hvac', 'residual', 'fridge']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'dw', 'fridge', 'hvac', 'residual']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'dw', 'fridge', 'residual', 'hvac']
5 2 LSTM 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'dw', 'residual', 'hvac', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'dr', 'hvac', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'dr', 'mw', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'mw', 'hvac', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'mw', 'dr', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'hvac', 'fridge', 'mw', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'hvac', 'fridge', 'residual', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'hvac', 'mw', 'fridge', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'hvac', 'mw', 'residual', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'hvac', 'residual', 'fridge', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'hvac', 'residual', 'mw', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'fridge', 'hvac', 'mw', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'fridge', 'hvac', 'residual', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'fridge', 'mw', 'hvac', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'fridge', 'mw', 'residual', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'fridge', 'residual', 'hvac', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'fridge', 'residual', 'mw', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'mw', 'hvac', 'fridge', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'mw', 'hvac', 'residual', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'mw', 'fridge', 'hvac', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'mw', 'fridge', 'residual', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'mw', 'residual', 'hvac', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'mw', 'residual', 'fridge', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'residual', 'hvac', 'fridge', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'residual', 'hvac', 'mw', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'residual', 'fridge', 'hvac', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'residual', 'fridge', 'mw', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'residual', 'mw', 'hvac', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'residual', 'mw', 'fridge', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'hvac', 'fridge', 'dr', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'hvac', 'fridge', 'residual', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'hvac', 'dr', 'fridge', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'hvac', 'dr', 'residual', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'hvac', 'residual', 'fridge', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'hvac', 'residual', 'dr', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'fridge', 'hvac', 'dr', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'fridge', 'hvac', 'residual', 'dr']
