nohup: ignoring input
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'hvac', 'fridge', 'mw', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'hvac', 'dr', 'fridge', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'hvac', 'dr', 'mw', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'hvac', 'mw', 'fridge', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'hvac', 'mw', 'dr', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'fridge', 'hvac', 'dr', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'fridge', 'hvac', 'mw', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'fridge', 'dr', 'hvac', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'fridge', 'dr', 'mw', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'fridge', 'mw', 'hvac', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'fridge', 'mw', 'dr', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'dr', 'hvac', 'fridge', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'dr', 'hvac', 'mw', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'dr', 'fridge', 'hvac', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'dr', 'fridge', 'mw', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'dr', 'mw', 'hvac', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'dr', 'mw', 'fridge', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'mw', 'hvac', 'fridge', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'mw', 'hvac', 'dr', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'mw', 'fridge', 'hvac', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'mw', 'fridge', 'dr', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'mw', 'dr', 'hvac', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'mw', 'dr', 'fridge', 'hvac']
