nohup: ignoring input
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'dr', 'residual', 'mw', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'mw', 'hvac', 'dr', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'mw', 'hvac', 'residual', 'dr']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'mw', 'dr', 'hvac', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'mw', 'dr', 'residual', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'mw', 'residual', 'hvac', 'dr']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'mw', 'residual', 'dr', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'hvac', 'dr', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'hvac', 'mw', 'dr']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'dr', 'hvac', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'dr', 'mw', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'mw', 'hvac', 'dr']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'mw', 'dr', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'hvac', 'fridge', 'mw', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'hvac', 'fridge', 'residual', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'hvac', 'mw', 'fridge', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'hvac', 'mw', 'residual', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'hvac', 'residual', 'fridge', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'hvac', 'residual', 'mw', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'fridge', 'hvac', 'mw', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'fridge', 'hvac', 'residual', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'fridge', 'mw', 'hvac', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'fridge', 'mw', 'residual', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'fridge', 'residual', 'hvac', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'fridge', 'residual', 'mw', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'mw', 'hvac', 'fridge', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'mw', 'hvac', 'residual', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'mw', 'fridge', 'hvac', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'mw', 'fridge', 'residual', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'mw', 'residual', 'hvac', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'mw', 'residual', 'fridge', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'residual', 'hvac', 'fridge', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'residual', 'hvac', 'mw', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'dr', 'residual', 'fridge', 'hvac', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'dr', 'hvac', 'mw', 'residual']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'dr', 'hvac', 'residual', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'dr', 'mw', 'hvac', 'residual']
