nohup: ignoring input
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'hvac', 'fridge', 'residual', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'hvac', 'dr', 'fridge', 'residual']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'hvac', 'dr', 'residual', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'hvac', 'residual', 'fridge', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'hvac', 'residual', 'dr', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'fridge', 'hvac', 'dr', 'residual']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'fridge', 'hvac', 'residual', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'fridge', 'dr', 'hvac', 'residual']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'fridge', 'dr', 'residual', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'fridge', 'residual', 'hvac', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'fridge', 'residual', 'dr', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'dr', 'hvac', 'fridge', 'residual']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'dr', 'hvac', 'residual', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'dr', 'fridge', 'hvac', 'residual']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'dr', 'fridge', 'residual', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'dr', 'residual', 'hvac', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'dr', 'residual', 'fridge', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'residual', 'hvac', 'fridge', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'residual', 'hvac', 'dr', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'residual', 'fridge', 'hvac', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'residual', 'fridge', 'dr', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'residual', 'dr', 'hvac', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'residual', 'dr', 'fridge', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'hvac', 'fridge', 'dr', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'hvac', 'fridge', 'mw', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'hvac', 'dr', 'fridge', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'hvac', 'dr', 'mw', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'hvac', 'mw', 'fridge', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'hvac', 'mw', 'dr', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'fridge', 'hvac', 'dr', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'fridge', 'hvac', 'mw', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'fridge', 'dr', 'hvac', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'fridge', 'dr', 'mw', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'fridge', 'mw', 'hvac', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'fridge', 'mw', 'dr', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'dr', 'hvac', 'fridge', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'dr', 'hvac', 'mw', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'dr', 'fridge', 'hvac', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'dr', 'fridge', 'mw', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'dr', 'mw', 'hvac', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'dr', 'mw', 'fridge', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'mw', 'hvac', 'fridge', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'mw', 'hvac', 'dr', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'mw', 'fridge', 'hvac', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'mw', 'fridge', 'dr', 'hvac']
