nohup: ignoring input
5 4 RNN 50 2 True 0.01 3000 0.0 ['hvac', 'fridge', 'dw', 'dr', 'mw', 'residual']
5 4 RNN 50 2 True 0.01 3000 0.0 ['hvac', 'fridge', 'dw', 'dr', 'residual', 'mw']
5 4 RNN 50 2 True 0.01 3000 0.0 ['hvac', 'fridge', 'dw', 'mw', 'dr', 'residual']
5 4 RNN 50 2 True 0.01 3000 0.0 ['hvac', 'fridge', 'dw', 'mw', 'residual', 'dr']
5 4 RNN 50 2 True 0.01 3000 0.0 ['hvac', 'fridge', 'dw', 'residual', 'dr', 'mw']
5 4 RNN 50 2 True 0.01 3000 0.0 ['hvac', 'fridge', 'dw', 'residual', 'mw', 'dr']
5 4 RNN 50 2 True 0.01 3000 0.0 ['hvac', 'fridge', 'mw', 'dr', 'dw', 'residual']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'dr', 'residual', 'fridge']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'residual', 'fridge', 'dr']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'residual', 'dr', 'fridge']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'fridge', 'dr', 'mw']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'fridge', 'mw', 'dr']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'dr', 'fridge', 'mw']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'dr', 'mw', 'fridge']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'mw', 'fridge', 'dr']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'mw', 'dr', 'fridge']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'hvac', 'dr', 'mw', 'residual']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'hvac', 'dr', 'residual', 'mw']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'hvac', 'mw', 'dr', 'residual']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'hvac', 'mw', 'residual', 'dr']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'hvac', 'residual', 'dr', 'mw']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'hvac', 'residual', 'mw', 'dr']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'dr', 'hvac', 'mw', 'residual']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'dr', 'hvac', 'residual', 'mw']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'dr', 'mw', 'hvac', 'residual']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'dr', 'mw', 'residual', 'hvac']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'dr', 'residual', 'hvac', 'mw']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'dr', 'residual', 'mw', 'hvac']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'mw', 'hvac', 'dr', 'residual']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'mw', 'hvac', 'residual', 'dr']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'mw', 'dr', 'hvac', 'residual']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'mw', 'dr', 'residual', 'hvac']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'mw', 'residual', 'hvac', 'dr']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'mw', 'residual', 'dr', 'hvac']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'hvac', 'dr', 'mw']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'hvac', 'mw', 'dr']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'dr', 'hvac', 'mw']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'dr', 'mw', 'hvac']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'mw', 'hvac', 'dr']
5 4 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'residual', 'mw', 'dr', 'hvac']
